Month-Year,Rail Station Name,NLC,Month Name (Travel Date),Calendar Year (Travel Date),Count of Taps
2018-05,Loughton,636,May,2018,288999
2018-05,Leyton,632,May,2018,1018673
2018-05,Balham LU,512,May,2018,1117995
2018-05,Lambeth North,628,May,2018,309840
2018-05,Tottenham Court Road,728,May,2018,3149700
2018-05,Bank,513,May,2018,3542176
2018-05,Liverpool Street LU,634,May,2018,5636511
2018-05,Manor House,638,May,2018,692517
2018-05,Tooting Bec,726,May,2018,641807
2018-05,Leicester Square,631,May,2018,2703291
2018-05,Mile End,642,May,2018,1246264
2018-05,Ladbroke Grove,627,May,2018,453379
2018-06,Chigwell,544,June,2018,41944
2018-06,Ravenscourt Park,682,June,2018,258094
2018-06,Cockfosters,550,June,2018,168515
2018-06,Westbourne Park,754,June,2018,301610
2018-06,Rickmansworth,687,June,2018,196309
2018-06,Chiswick Park,545,June,2018,182299
2018-06,Leyton,632,June,2018,979166
2018-06,Chorleywood,546,June,2018,53547
2018-06,Regents Park,685,June,2018,361358
2018-06,Rayners Lane,683,June,2018,347000
2018-06,Kensington Olympia,618,June,2018,251006
2018-06,Southwark,784,June,2018,1257380
2018-06,Clapham North,548,June,2018,523803
2018-06,Leytonstone,633,June,2018,858731
2018-06,Redbridge,684,June,2018,233008
2018-06,Clapham Common,547,June,2018,797457
2018-06,Westminster,761,June,2018,2263670
2018-06,Clapham South,549,June,2018,672500
2018-06,Kentish Town,619,June,2018,636761
2018-06,Covent Garden,553,June,2018,1342130
2018-06,Queensway,681,June,2018,698301
2018-06,St Pauls,697,June,2018,1412225
2018-06,Pinner,675,June,2018,245911
2018-06,Ealing Common,561,June,2018,258862
2018-06,London Bridge LU,635,June,2018,5901082
2018-06,Plaistow,676,June,2018,471960
2018-06,Ealing Broadway,560,June,2018,1389193
2018-06,West Harrow,759,June,2018,84766
2018-06,Ickenham,615,June,2018,98033
2018-06,Dollis Hill,558,June,2018,336422
2018-06,Preston Road,677,June,2018,283349
2018-06,Debden,557,June,2018,191797
2018-06,Liverpool Street LU,634,June,2018,5559171
2018-06,St Johns Wood,696,June,2018,690265
2018-06,Putney Bridge,678,June,2018,447788
2018-06,Dagenham Heathway,556,June,2018,492959
2018-06,West Kensington,760,June,2018,400856
2018-06,Kennington,616,June,2018,331992
2018-06,Dagenham East,555,June,2018,236542
2018-06,Tooting Broadway,727,June,2018,1278761
2018-06,Queens Park,680,June,2018,442889
2018-06,Croxley,554,June,2018,90759
2018-06,Turnham Green,734,June,2018,504255
2018-06,Queensbury,679,June,2018,366333
2018-06,West Ruislip,762,June,2018,117392
2018-06,Kensal Green,617,June,2018,201113
2018-06,Colliers Wood,552,June,2018,546489
2018-06,St James's Park,695,June,2018,1182206
2018-06,Colindale,551,June,2018,588497
2018-06,White City,764,June,2018,688565
2018-06,Hendon Central,601,June,2018,550306
2018-06,Chesham,543,June,2018,97549
2018-06,Wood Green,770,June,2018,1012607
2018-06,Kilburn Park,623,June,2018,272981
2018-06,Buckhurst Hill,531,June,2018,164081
2018-06,Shepherds Bush Market,775,June,2018,259552
2018-06,Lancaster Gate,629,June,2018,542528
2018-06,Bromley-by-Bow,530,June,2018,203539
2018-06,Wood Lane,599,June,2018,328029
2018-06,South Wimbledon,711,June,2018,392904
2018-06,Brixton LU,778,June,2018,2624861
2018-06,Sloane Square,702,June,2018,1346742
2018-06,Kings Cross LU (Tube),625,June,2018,2663220
2018-06,Brent Cross,529,June,2018,201762
2018-06,Snaresbrook,703,June,2018,185397
2018-06,Burnt Oak,532,June,2018,372099
2018-06,Bow Road,528,June,2018,432108
2018-06,Tottenham Hale,729,June,2018,1076580
2018-06,Bounds Green,527,June,2018,503374
